feature_name,reference_mean,reference_std,reference_min,reference_max,reference_nonzero_rate
IRGC,0.022071307300509338,0.14691550188647823,0.0,1.0,0.022071307300509338
SMG9,0.023769100169779286,0.15232901905709964,0.0,1.0,0.023769100169779286
KCNN4,0.010186757215619695,0.10041407865956706,0.0,1.0,0.010186757215619695
LYPD5,0.006791171477079796,0.08212826229166585,0.0,1.0,0.006791171477079796
ZNF283,0.028862478777589132,0.16741993936327376,0.0,1.0,0.028862478777589132
ZNF404,0.01697792869269949,0.12918853908147193,0.0,1.0,0.01697792869269949
ZNF45,0.015280135823429542,0.12266480046307933,0.0,1.0,0.015280135823429542
ZNF221,0.01867572156196944,0.13537702532597345,0.0,1.0,0.01867572156196944
ZNF155,0.025466893039049237,0.15753834580186155,0.0,1.0,0.025466893039049237
ZNF230,0.015280135823429542,0.12266480046307954,0.0,1.0,0.015280135823429542
ZNF222,0.022071307300509338,0.14691550188647826,0.0,1.0,0.022071307300509338
